world_rank,university_name,country,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,international_students_percent,female_male_ratio,year
23,University of Washington,United States of America,68.2,49,77.1,95.9,32.8,78,"44,020.00",11.8,0.13,53 : 47,2011
24,Duke University,United States of America,66.8,49.4,71.5,92.3,100,76.5,"15,172.00",4.8,0.17,49 : 51,2011
25,Northwestern University,United States of America,64.5,60.5,68.8,95.3,,75.9,"18,334.00",13.8,0.15,48 : 52,2011
26,University of Tokyo,Japan,87.7,18.4,91.9,58.1,,75.6,"26,199.00",5.7,0.10,,2011
27,Georgia Institute of Technology,United States of America,67.9,73.2,72.6,83.2,95.1,75.3,"19,967.00",20.1,0.26,31 : 69,2011
28,Pohang University of Science and Technology,South Korea,69.5,32.6,62.5,96.5,100,75.1,"3,055.00",10.1,0.04,20 : 80,2011
29,"University of California, Santa Barbara",United States of America,56.6,64.3,68,98.8,89.8,75,"22,020.00",27.3,0.11,52 : 48,2011
30,University of British Columbia,Canada,65.1,93.3,74.8,80.3,42.6,73.8,"50,152.00",17.6,0.25,54 : 46,2011
30,University of North Carolina at Chapel Hill,United States of America,70.9,21.5,75.1,85,50.2,73.8,"26,518.00",7.3,0.08,58 : 42,2011
32,"University of California, San Diego",United States of America,59.8,31.6,76.3,90.8,51.8,73.2,"27,233.00",6.5,0.11,48 : 52,2011
33,University of Illinois at UrbanaChampaign,United States of America,68.1,55.9,80.9,72.9,,73,"42,727.00",18.7,0.20,47 : 53,2011
34,National University of Singapore,Singapore,65.5,97.8,72.6,78.7,40.5,72.9,"31,592.00",15.5,0.34,49 : 51,2011
